Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_244.jpg;0;1;0;1.4888;100.5922;86.70103;1.249746;50.3664;-0.0009020396
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_314.jpg;0;1;0;1.536563;100.6714;86.796;1.257343;50.35022;-0.0009488777
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_380.jpg;0;1;0;1.582195;100.733;86.86965;1.259478;50.33984;-0.0009609943
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_443.jpg;0;1;0;1.64483;100.7963;86.94547;1.264536;50.32779;-0.0009793302
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_511.jpg;0;1;0;1.690151;100.8836;87.0498;1.269873;50.31348;-0.0010069
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_559.jpg;0;1;0;1.736039;100.9284;87.10339;1.273198;50.30657;-0.0010148
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_626.jpg;0;1;0;1.7826;101.0204;87.21329;1.276754;50.29214;-0.001033243
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_678.jpg;0;1;0;1.828127;101.0676;87.26965;1.279862;50.28566;-0.001064494
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_740.jpg;0;1;0;1.873526;101.1398;87.35594;1.285611;50.27467;-0.001089316
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_812.jpg;0;1;0;1.918238;101.2389;87.47418;1.290363;50.25856;-0.001085982
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_879.jpg;0;1;0;1.963901;101.3153;87.56528;1.295434;50.2478;-0.001100715
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_945.jpg;0;1;0;2.023199;101.4198;87.68991;1.300682;50.2326;-0.001130234
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_010.jpg;0;1;0;2.068518;101.5002;87.78575;1.30381;50.22201;-0.001158497
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_077.jpg;0;1;0;2.113157;101.5824;87.88362;1.30686;50.21184;-0.001189002
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_142.jpg;0;1;0;2.172355;101.6663;87.98354;1.310216;50.19927;-0.001198932
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_207.jpg;0;1;0;2.215847;101.7808;88.11985;1.312786;50.18448;-0.001197972
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_264.jpg;0;1;0;2.260519;101.8392;88.18938;1.316375;50.17672;-0.001222259
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_323.jpg;0;1;0;2.303735;101.9283;88.29527;1.318017;50.16602;-0.001221967
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_373.jpg;0;1;0;2.333608;102.019;88.40318;1.321568;50.15387;-0.001252739
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_424.jpg;0;1;0;2.37709;102.0805;88.47626;1.325959;50.14631;-0.001265818
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_493.jpg;0;1;0;2.419954;102.2057;88.62493;1.327374;50.13124;-0.001265125
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_559.jpg;0;1;0;2.46396;102.3016;88.73875;1.329987;50.1193;-0.001282927
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_622.jpg;0;1;0;2.521339;102.3992;88.85457;1.334954;50.1078;-0.001313647
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_670.jpg;0;1;0;2.549947;102.4984;88.97234;1.34097;50.09649;-0.001337429
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_722.jpg;0;1;0;2.592764;102.5656;89.05194;1.344873;50.08906;-0.001359369
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_770.jpg;0;1;0;2.63575;102.6675;89.1728;1.339942;50.07732;-0.001330169
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_819.jpg;0;1;0;2.664093;102.7365;89.25453;1.34208;50.07017;-0.0009059689
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_882.jpg;0;1;0;2.706205;102.8414;89.37876;1.349236;50.05543;-0.001362894
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_926.jpg;0;1;0;2.748509;102.9479;89.5049;1.354872;50.04324;-0.001388598
